name,pID,height,weight,birthYr,firstSeasonID
Bryce Cotton,cottobr01,73,165,1992,2015
James Cotton,cottoja02,77,220,1975,1998
Joe Courtney,courtjo01,80,235,1969,1993
DeMarcus Cousins,couside01,82,270,1990,2011
Marcus Cousin,cousima01,83,245,1986,2011
Robert Covington,covinro01,79,209,1990,2014
Allen Crabbe,crabbal01,77,212,1992,2014
Torrey Craig,craigto01,79,221,1990,2018
Chris Crawford,crawfch01,81,235,1975,1998
Jamal Crawford,crawfja01,77,185,1980,2001
Joe Crawford,crawfjo01,77,210,1986,2009
Jordan Crawford,crawfjo02,76,195,1988,2011
Mitch Creek,creekmi01,77,216,1992,2019
Joe Crispin,crispjo01,72,185,1979,2002
Javaris Crittenton,crittja01,77,200,1987,2008
Austin Croshere,croshau01,81,235,1975,1998
John Crotty,crottjo01,73,185,1969,1993
Corey Crowder,crowdco01,77,214,1969,1992
Jae Crowder,crowdja01,78,235,1990,2013
Jarrett Culver,culveja01,78,195,1999,2020
Jarron Cumberland,cumbeja01,77,205,1997,2022
Pat Cummings,cummipa01,81,230,1956,1980
Terry Cummings,cummite01,81,220,1961,1983
Vonteego Cummings,cummivo01,75,185,1976,2000
Cade Cunningham,cunnica01,78,220,2001,2022
Dante Cunningham,cunnida01,80,230,1987,2010
Jared Cunningham,cunnija01,76,195,1991,2013
William Cunningham,cunniwi01,83,250,1974,1998
Radisav Ćurčić,curcira01,82,275,1965,1993
Earl Cureton,curetea01,81,210,1957,1981
Bill Curley,curlebi01,81,220,1972,1995
Dell Curry,curryde01,76,190,1964,1987
Eddy Curry,curryed01,84,295,1982,2002
JamesOn Curry,curryja01,75,190,1986,2010
Michael Curry,currymi01,77,210,1968,1994
Seth Curry,curryse01,74,185,1990,2014
Stephen Curry,curryst01,74,185,1988,2010
Rastko Cvetković,cvetkra01,85,260,1970,1996
Quintin Dailey,dailequ01,75,180,1961,1983
Samuel Dalembert,dalemsa01,83,255,1981,2002
Erick Dampier,dampier01,83,265,1975,1997
Antonio Daniels,daniean01,76,195,1975,1998
Erik Daniels,danieer01,80,214,1982,2005
Lloyd Daniels,daniell01,79,205,1967,1993
Marquis Daniels,daniema01,78,200,1981,2004
Troy Daniels,danietr01,76,200,1991,2014
Sasha Danilović,danilsa01,77,200,1970,1996
Adrian Dantley,dantlad01,77,208,1955,1977
Yinka Dare,dareyi01,84,265,1972,1995
Nate Darling,darlina01,78,200,1998,2021
Gigi Datome,datomlu01,80,215,1987,2014
Brad Daugherty,daughbr01,84,245,1965,1987
Jermareo Davidson,davidje01,82,230,1984,2008
Kornél Dávid,davidko01,81,235,1971,1999
Brandon Davies,daviebr01,82,240,1991,2014
Antonio Davis,davisan01,81,215,1968,1994
Anthony Davis,davisan02,82,253,1993,2013
Baron Davis,davisba01,75,209,1979,2000
Ben Davis,davisbe01,81,240,1972,1997
Brad Davis,davisbr01,75,180,1955,1978
Brian Davis,davisbr02,79,200,1970,1994
Charles Davis,davisch02,79,215,1958,1982
Dale Davis,davisda01,83,230,1969,1992
Deyonta Davis,davisde01,83,237,1996,2017
Ed Davis,davised01,81,218,1989,2011
Emanual Davis,davisem01,76,195,1968,1997
Glen Davis,davisgl01,81,289,1986,2008
Hubert Davis,davishu01,77,183,1970,1993
Josh Davis,davisjo02,80,235,1980,2004
Mark Davis,davisma02,79,210,1973,1996
Paul Davis,davispa01,83,270,1984,2007
Ricky Davis,davisri01,78,195,1979,1999
Terry Davis,daviste01,81,225,1967,1990
Terence Davis,daviste02,76,201,1997,2020
Tyler Davis,davisty01,82,266,1997,2019
Walter Davis,daviswa03,78,193,1954,1978
Andre Dawkins,dawkian01,77,215,1991,2015
Johnny Dawkins,dawkijo01,74,165,1963,1987
Branden Dawson,dawsobr01,78,225,1993,2016
Eric Dawson,dawsoer01,81,250,1984,2012
Tony Dawson,dawsoto01,79,215,1967,1991
Austin Daye,dayeau01,83,220,1988,2010
Todd Day,dayto01,78,188,1970,1993
Gabriel Deck,deckga01,80,232,1995,2021
Andrew DeClercq,declean01,82,230,1973,1996
Nando De Colo,decolna01,77,200,1987,2013
Dewayne Dedmon,dedmode01,84,245,1989,2014
Terry Dehere,deherte01,74,190,1971,1994
Bryce Dejean-Jones,dejeabr01,78,209,1992,2016
Sam Dekker,dekkesa01,81,230,1994,2016
Malcolm Delaney,delanma01,75,190,1989,2017
Javin DeLaurier,delauja01,82,237,1998,2022
Bison Dele,delebi01,81,235,1969,1992
Carlos Delfino,delfica01,78,230,1982,2005
Ángel Delgado,delgaan01,82,245,1994,2019
Tony Delk,delkto01,73,189,1974,1997
Matthew Dellavedova,dellama01,75,200,1990,2014
Vinny Del Negro,delnevi01,76,185,1966,1989
Dell Demps,dempsde01,75,205,1970,1994
Luol Deng,denglu01,81,237,1985,2005
Justin Dentmon,dentmju01,71,185,1985,2012
DeMar DeRozan,derozde01,78,220,1989,2010
Marcus Derrickson,derrima01,79,249,1996,2019
Mamadi Diakite,diakima01,81,228,1997,2021
Derrick Dial,dialde01,76,184,1975,2000
Cheick Diallo,diallch01,80,219,1996,2017
Hamidou Diallo,diallha01,77,202,1998,2019
Yakhouba Diawara,diawaya01,79,225,1982,2007
Boris Diaw,diawbo01,80,250,1982,2004
Guillermo Díaz,diazgu01,74,192,1985,2008
Dan Dickau,dickada01,72,190,1978,2003
Kaniel Dickens,dickeka01,80,215,1978,2004
Michael Dickerson,dickemi01,77,190,1975,1999
Travis Diener,dienetr01,73,175,1982,2006
Gorgui Dieng,dienggo01,82,252,1990,2014
Byron Dinkins,dinkiby01,73,170,1967,1990
Spencer Dinwiddie,dinwisp01,77,215,1993,2015
Ike Diogu,dioguik01,80,250,1983,2006
DeSagana Diop,diopde01,84,300,1982,2002
Vlade Divac,divacvl01,85,243,1968,1990
Donte DiVincenzo,divindo01,76,203,1997,2019
Juan Dixon,dixonju01,75,164,1978,2003
Aleksandar Djordjevic,djordal01,74,198,1967,1997
Michael Doleac,doleami01,83,262,1977,1999
James Donaldson,donalja01,86,275,1957,1981
Luka Dončić,doncilu01,79,230,1999,2019
Keyon Dooling,doolike01,75,196,1980,2001
Joey Dorsey,dorsejo01,80,268,1983,2009
Tyler Dorsey,dorsety01,77,183,1996,2018
Luguentz Dort,dortlu01,75,215,1999,2020
Ayo Dosunmu,dosunay01,77,200,2000,2022
Damyean Dotson,dotsoda01,77,210,1994,2018
Devon Dotson,dotsode01,74,185,1999,2021
Quincy Douby,doubyqu01,75,175,1984,2007
Chris Douglas-Roberts,douglch01,79,200,1987,2009
Sherman Douglas,douglsh01,72,180,1966,1990
Toney Douglas,douglto01,74,195,1986,2010
Sekou Doumbouya,doumbse01,80,230,2000,2020
Zabian Dowdell,dowdeza01,75,191,1984,2011
Jeff Dowtin,dowtije01,75,185,1997,2022
Milton Doyle,doylemi01,76,185,1993,2018
PJ Dozier,doziepj01,78,205,1996,2018
Terry Dozier,doziete01,81,210,1966,1990
Goran Dragić,dragigo01,75,190,1986,2009
Zoran Dragić,dragizo01,77,200,1989,2015
Greg Dreiling,dreilgr01,85,250,1962,1987
Bryce Drew,drewbr01,74,185,1974,1999
Larry Drew,drewla01,73,170,1958,1981
Larry Drew II,drewla02,74,180,1990,2015
Clyde Drexler,drexlcl01,79,210,1962,1984
Nate Driggers,driggna01,77,215,1973,1997
Predrag Drobnjak,drobnpr01,83,270,1975,2002
Andre Drummond,drumman01,82,279,1993,2013
Chris Duarte,duartch01,78,190,1997,2022
Kevin Duckworth,duckwke01,84,275,1964,1987
Chris Dudley,dudlech02,83,235,1965,1988
Jared Dudley,dudleja01,78,237,1985,2008
Chris Duhon,duhonch01,73,185,1982,2005
Duje Dukan,dukandu01,81,220,1991,2016
David Duke Jr.,dukeda01,77,205,1999,2022
Joe Dumars,dumarjo01,75,190,1963,1986
Richard Dumas,dumasri02,79,200,1969,1993
Tony Dumas,dumasto01,78,190,1972,1995
Tim Duncan,duncati01,83,250,1976,1998
Mike Dunleavy,dunlemi01,75,180,1954,1977
Mike Dunleavy,dunlemi02,81,230,1980,2003
Kris Dunn,dunnkr01,75,205,1994,2017
T.R. Dunn,dunntr01,76,192,1955,1978
Ronald Dupree,duprero01,79,209,1981,2004
Kevin Durant,duranke01,82,240,1988,2008
Pat Durham,durhapa01,79,210,1967,1993
Trevon Duval,duvaltr01,74,189,1998,2019
Jerome Dyson,dysonje01,75,180,1987,2012
Ledell Eackles,eacklle01,77,220,1966,1989
Acie Earl,earlac01,82,240,1970,1994
Cleanthony Early,earlycl01,80,210,1991,2015
Mark Eaton,eatonma01,88,275,1957,1983
Devin Ebanks,ebankde01,81,215,1989,2011
Ndudi Ebi,ebind01,81,200,1984,2004
Jaime Echenique,echenja01,83,258,1997,2022
Jarell Eddie,eddieja01,79,218,1991,2016
Patrick Eddie,eddiepa01,83,240,1967,1992
Tyus Edney,edneyty01,70,152,1973,1996
Anthony Edwards,edwaran01,76,225,2001,2021
Bill Edwards,edwarbi01,80,215,1971,1994
Blue Edwards,edwarbl01,76,200,1965,1990
Carsen Edwards,edwarca01,71,200,1998,2020
Corsley Edwards,edwarco01,81,275,1979,2005
Doug Edwards,edwardo01,79,220,1971,1994
James Edwards,edwarja01,84,225,1955,1978
Jay Edwards,edwarja02,76,185,1969,1990
John Edwards,edwarjo01,84,275,1981,2005
Kevin Edwards,edwarke01,75,190,1965,1989
Kessler Edwards,edwarke02,80,215,2000,2022
Rob Edwards,edwarro01,77,205,1997,2022
Shane Edwards,edwarsh01,79,220,1987,2014
Vince Edwards,edwarvi01,80,225,1996,2019
Craig Ehlo,ehlocr01,78,180,1961,1984
Howard Eisley,eisleho01,74,177,1972,1995
Obinna Ekezie,ekeziob01,81,270,1975,2000
Khalid El-Amin,elamikh01,70,200,1979,2001
Mario Elie,eliema01,77,210,1963,1991
CJ Elleby,ellebcj01,78,200,2000,2021
Henry Ellenson,ellenhe01,82,240,1997,2017
Wayne Ellington,ellinwa01,76,207,1987,2010
Sean Elliott,elliose01,80,205,1968,1990
Dale Ellis,ellisda01,79,205,1960,1984
Harold Ellis,ellisha01,77,200,1970,1994
LaPhonso Ellis,ellisla01,80,240,1970,1993
LeRon Ellis,ellisle02,81,225,1969,1992
Monta Ellis,ellismo01,75,185,1985,2006
Pervis Ellison,ellispe01,81,210,1967,1990
Francisco Elson,elsonfr01,84,235,1976,2004
Melvin Ely,elyme01,82,260,1978,2003
Joel Embiid,embiijo01,84,280,1994,2017
Andre Emmett,emmetan01,77,230,1982,2005
A.J. English,engliaj01,75,175,1967,1991
Alex English,englial01,79,190,1954,1977
